Gender,Age,Hospital Type,Visit Type,Waiting Time,Nurse Staff Behaviour,Doctor Communication,Hospital Cleanliness,Overall Satisfaction,Return Intention,Biggest Problem,Recommendation,Treatment Quality,Waiting Area Facilities,Respect Privacy,Medicine Explanation,Charges,Occupation,Age1,Nurse Staff Behaviour Score,Hospital Cleanliness Score,Overall_satisfaction_Avergae,Waiting Time Number
Male,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Strongly Agree,Agree,4,2,Long lines,Maybe,3,Agree,Neutral,Agree,Very expensive,Student,30,3,3,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Agree,Strongly Agree,Agree,4,3,Long lines,Yes,3,Agree,Agree,Agree,Expensive,Student,65,4,4,3.038461538,22
Male,15-25,Private clinic,OPD (Doctor Consultation ),15-30 minutes,Neutral,Agree,Neutral,4,2,Cost,Maybe,4,Agree,Disagree,Disagree,Reasonable,Student,65,4,2,3.038461538,22
Female,35-45,Private,Emergency,30-60 minutes,Neutral,Agree,Neutral,1,2,Short consultation,Maybe,3,Disagree,Strongly Agree,Agree,Reasonable,Student,30,3,4,3.038461538,22
Male,15-25,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Strongly Agree,Strongly Agree,Neutral,3,1,Long lines,Maybe,3,Neutral,Neutral,Agree,Expensive,Business,65,3,4,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Neutral,Disagree,Disagree,3,2,Short consultation,Maybe,3,Neutral,Neutral,Agree,Very expensive,Student,65,5,5,3.038461538,45
Male,15-25,Government,OPD (Doctor Consultation ),30-60 minutes,Neutral,Strongly Agree,Strongly Disagree,3,3,Long lines,No,4,Neutral,Agree,Agree,Very expensive,Student,65,4,1,3.038461538,22
Female,15-25,Private,Follow-up/Routine Checkup,Less than 15 minutes,Neutral,Agree,Disagree,4,3,Long lines,Maybe,5,Neutral,Neutral,Disagree,Expensive,Student,65,1,4,3.038461538,45
Female,15-25,Private,In-Patient (Admitted/Hospitalized),15-30 minutes,Neutral,Strongly Disagree,Agree,4,2,Short consultation,Yes,3,Agree,Strongly Agree,Neutral,Reasonable,Student,65,3,2,3.038461538,45
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Strongly Disagree,Strongly Disagree,4,3,Short consultation,Yes,2,Neutral,Agree,Agree,Reasonable,Student,65,2,3,3.038461538,22
Male,15-25,Private clinic,Follow-up/Routine Checkup,30-60 minutes,Agree,Strongly Agree,Neutral,1,3,Cost,Yes,3,Agree,Agree,Agree,Reasonable,Private Job,65,4,3,3.038461538,45
Female,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Strongly Agree,Strongly Agree,4,2,Short consultation,Yes,4,Disagree,Neutral,Agree,Very expensive,Student,30,4,1,3.038461538,22
Male,15-25,Private clinic,Emergency,15-30 minutes,Agree,Neutral,Disagree,1,3,Long lines,Yes,3,Neutral,Neutral,Agree,Expensive,Student,65,3,1,3.038461538,75
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Agree,Agree,4,3,Long lines,Yes,5,Neutral,Agree,Agree,Reasonable,Student,30,4,2,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),30-60 minutes,Neutral,Strongly Disagree,Strongly Disagree,4,2,Cost,Yes,3,Disagree,Agree,Disagree,Very expensive,Student,30,4,3,3.038461538,10
Male,15-25,Private clinic,OPD (Doctor Consultation ),30-60 minutes,Neutral,Agree,Neutral,4,2,Long lines,Maybe,2,Agree,Strongly Agree,Agree,Reasonable,Student,65,3,3,3.038461538,22
Male,15-25,Private clinic,OPD (Doctor Consultation ),15-30 minutes,Agree,Neutral,Neutral,1,3,Long lines,Maybe,3,Agree,Agree,Strongly Agree,Expensive,Student,65,3,4,3.038461538,45
Male,15-25,Private clinic,Follow-up/Routine Checkup,15-30 minutes,Neutral,Strongly Agree,Agree,3,1,Short consultation,No,1,Neutral,Strongly Agree,Agree,Reasonable,Student,30,4,4,3.038461538,10
Male,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Neutral,Neutral,1,2,Cost,Maybe,2,Disagree,Neutral,Neutral,Reasonable,Student,65,1,4,3.038461538,10
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Agree,Strongly Agree,Disagree,4,2,Long lines,Maybe,3,Neutral,Neutral,Agree,Expensive,Youtuber & Influencer,65,4,2,3.038461538,10
Male,15-25,Government,Follow-up/Routine Checkup,15-30 minutes,Strongly Disagree,Agree,Neutral,4,3,Long lines,No,3,Strongly Agree,Neutral,Neutral,Very expensive,Government Job,65,3,5,3.038461538,75
Female,15-25,Government,In-Patient (Admitted/Hospitalized),30-60 minutes,Neutral,Strongly Agree,Agree,4,2,Rude staff behavior,Yes,2,Strongly Disagree,Strongly Disagree,Disagree,Expensive,Student,65,3,5,3.038461538,22
Male,15-25,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Agree,Disagree,1,2,Rude staff behavior,Yes,3,Disagree,Agree,Agree,Cheap,Student,65,4,1,3.038461538,22
Female,15-25,Private clinic,Emergency,Less than 15 minutes,Agree,Agree,Strongly Disagree,4,2,Rude staff behavior,Maybe,2,Neutral,Neutral,Agree,Very expensive,Private Job,65,4,5,3.038461538,22
Female,15-25,Private,OPD (Doctor Consultation ),30-60 minutes,Strongly Disagree,Agree,Agree,4,2,Long lines,Yes,3,Disagree,Strongly Agree,Agree,Expensive,Student,65,3,1,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Strongly Agree,Strongly Agree,Agree,4,3,Long lines,Yes,2,Neutral,Agree,Neutral,Expensive,Student,30,5,2,3.038461538,22
Male,15-25,Private,In-Patient (Admitted/Hospitalized),Less than 15 minutes,Neutral,Agree,Disagree,4,2,Rude staff behavior,Maybe,4,Agree,Agree,Agree,Reasonable,Student,65,3,2,3.038461538,10
Female,25-35,Private,OPD (Doctor Consultation ),15-30 minutes,Disagree,Agree,Neutral,3,2,Short consultation,Yes,3,Agree,Agree,Agree,Reasonable,Private Job,65,3,3,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),15-30 minutes,Strongly Agree,Strongly Agree,Disagree,4,2,Short consultation,Yes,5,Strongly Disagree,Neutral,Strongly Agree,Reasonable,Student,65,1,4,3.038461538,45
